lev_timestamp,site_no,station_nm,y,x,name,agency_cd,site_tp_cd,lev_va,sl_lev_va,sl_datum_cd,lev_status_cd,lev_agency_cd,lev_dt_acy_cd,lev_acy_cd,lev_src_cd,lev_meth_cd,lev_age_cd,timestamp_quarter,baseline_value,relative_to_baseline,ObjectId
1/5/12,3.1353E+14,D-21-21 20ACC1 [MW-4],31.59163056,-110.2322889,MW-4,USGS,GW,183.9,null,null,1,USDA,m,1,A,T,A,4,181.671,Greater,4637
12/12/13,3.1353E+14,D-21-21 20ACC1 [MW-4],31.59163056,-110.2322889,MW-4,USGS,GW,184.93,null,null,1,USDA,m,1,A,T,A,4,182.79428571428573,Greater,4640
1/13/15,3.1353E+14,D-21-21 20ACC1 [MW-4],31.59163056,-110.2322889,MW-4,USGS,GW,185.51,null,null,1,USGS,m,2,S,V,A,4,183.73333333333335,Greater,4643
10/18/16,3.1353E+14,D-21-21 20ACC1 [MW-4],31.59163056,-110.2322889,MW-4,USGS,GW,186.4,null,null,1,USGS,m,2,S,V,A,4,184.44833333333335,Greater,4646
11/29/16,3.1353E+14,D-21-21 20ACC1 [MW-4],31.59163056,-110.2322889,MW-4,USGS,GW,186.5,null,null,1,USGS,m,2,S,V,A,4,184.74142857142857,Greater,4649
10/16/17,3.1353E+14,D-21-21 20ACC1 [MW-4],31.59163056,-110.2322889,MW-4,USGS,GW,186.83,null,null,1,USGS,m,2,S,V,A,4,185.3342857142857,Greater,4652
10/23/97,3.1361E+14,D-21-20 14DAD1 [MW-6],31.60265,-110.2754333,MW-6,USGS,GW,271.79,null,null,1,null,D,2,null,T,A,4,271.34250000000003,Greater,4653
7/5/22,3.1361E+14,D-21-20 14DAD1 [MW-6],31.60265,-110.2754333,MW-6,USGS,GW,285.77,null,null,1,USGS,m,U,S,V,A,2,283.8692307692308,Greater,4654
2/18/02,3.1361E+14,D-21-20 14DAD1 [MW-6],31.60265,-110.2754333,MW-6,USGS,GW,274.88,null,null,1,null,D,2,null,T,A,1,273.00083333333333,Greater,4655
2/5/19,3.13615E+14,D-21-20 15ACD1 [TW-4],31.60604895,-110.2961432,TW-4,USGS,GW,301.93,null,null,1,USGS,m,2,S,V,A,1,299.2977777777778,Greater,4657
4/18/16,3.13615E+14,D-21-20 15ACD1 [TW-4],31.60604895,-110.2961432,TW-4,USGS,GW,300.16,null,null,1,USGS,m,2,S,V,A,2,298.02250000000004,Greater,4661
12/14/97,3.1361E+14,D-21-20 14DAD1 [MW-6],31.60265,-110.2754333,MW-6,USGS,GW,272.14,null,null,1,null,D,2,null,T,A,4,271.502,Greater,4667
4/7/02,3.1361E+14,D-21-20 14DAD1 [MW-6],31.60265,-110.2754333,MW-6,USGS,GW,274.98,null,null,1,null,D,2,null,T,A,1,273.1530769230769,Greater,4672
6/27/16,3.13615E+14,D-21-20 15ACD1 [TW-4],31.60604895,-110.2961432,TW-4,USGS,GW,300.17,null,null,1,USGS,m,2,S,V,A,2,298.55375000000004,Greater,4673
4/6/20,3.13615E+14,D-21-20 15ACD1 [TW-4],31.60604895,-110.2961432,TW-4,USGS,GW,302.59,null,null,1,USGS,m,2,S,V,A,1,300.3671428571428,Greater,4674
5/11/23,3.1361E+14,D-21-20 14DAD1 [MW-6],31.60265,-110.2754333,MW-6,USGS,GW,286.25,null,null,1,USGS,m,2,S,V,A,2,284.30333333333334,Greater,4675
8/31/01,3.1353E+14,D-21-21 20ACC1 [MW-4],31.59163056,-110.2322889,MW-4,USGS,GW,178.59,null,null,1,null,D,2,null,T,A,3,176.76357142857142,Greater,4676
10/25/98,3.1361E+14,D-21-20 14DAD1 [MW-6],31.60265,-110.2754333,MW-6,USGS,GW,272.47,null,null,1,null,D,2,null,T,A,4,271.66333333333336,Greater,4683
4/24/17,3.13615E+14,D-21-20 15ACD1 [TW-4],31.60604895,-110.2961432,TW-4,USGS,GW,300.47,null,null,1,USGS,m,2,S,V,A,2,298.76666666666665,Greater,4688
2/8/21,3.13615E+14,D-21-20 15ACD1 [TW-4],31.60604895,-110.2961432,TW-4,USGS,GW,302.98,null,null,1,USGS,m,2,S,V,A,1,300.69374999999997,Greater,4691
7/14/02,3.1353E+14,D-21-21 20ACC1 [MW-4],31.59163056,-110.2322889,MW-4,USGS,GW,178.87,null,null,1,null,D,2,null,T,A,3,176.904,Greater,4692
2/17/03,3.1361E+14,D-21-20 14DAD1 [MW-6],31.60265,-110.2754333,MW-6,USGS,GW,275.37,null,null,1,null,D,2,null,T,A,1,273.51153846153846,Greater,4693
12/13/98,3.1361E+14,D-21-20 14DAD1 [MW-6],31.60265,-110.2754333,MW-6,USGS,GW,272.85,null,null,1,null,D,2,null,T,A,4,271.83285714285716,Greater,4698
4/5/21,3.13615E+14,D-21-20 15ACD1 [TW-4],31.60604895,-110.2961432,TW-4,USGS,GW,302.96,null,null,1,USGS,m,2,S,V,A,1,301.52,Greater,4703
9/2/02,3.1353E+14,D-21-21 20ACC1 [MW-4],31.59163056,-110.2322889,MW-4,USGS,GW,178.88,null,null,1,null,D,2,null,T,A,3,177.174,Greater,4704
4/6/03,3.1361E+14,D-21-20 14DAD1 [MW-6],31.60265,-110.2754333,MW-6,USGS,GW,275.44,null,null,1,null,D,2,null,T,A,1,273.8361538461538,Greater,4705
10/24/99,3.1361E+14,D-21-20 14DAD1 [MW-6],31.60265,-110.2754333,MW-6,USGS,GW,273.49,null,null,1,null,D,2,null,T,A,4,272.04,Greater,4710
1/31/22,3.13615E+14,D-21-20 15ACD1 [TW-4],31.60604895,-110.2961432,TW-4,USGS,GW,303.41,null,null,1,USGS,m,2,S,V,A,1,301.75625,Greater,4715
