lev_timestamp,site_no,station_nm,y,x,name,agency_cd,site_tp_cd,lev_va,sl_lev_va,sl_datum_cd,lev_status_cd,lev_agency_cd,lev_dt_acy_cd,lev_acy_cd,lev_src_cd,lev_meth_cd,lev_age_cd,timestamp_quarter,baseline_value,relative_to_baseline,ObjectId
2/21/00,3.1353E+14,D-21-21 20ACC1 [MW-4],31.59163056,-110.2322889,MW-4,USGS,GW,177.87,null,null,1,null,D,2,null,T,A,1,176.17545454545456,Greater,3995
4/9/00,3.1353E+14,D-21-21 20ACC1 [MW-4],31.59163056,-110.2322889,MW-4,USGS,GW,177.78,null,null,1,null,D,2,null,T,A,1,176.30916666666667,Greater,3998
1/9/18,3.1353E+14,D-21-21 20ACC1 [MW-4],31.59163056,-110.2322889,MW-4,USGS,GW,186.71,null,null,1,USGS,m,2,S,V,A,4,185.82571428571427,Greater,4003
10/23/18,3.1353E+14,D-21-21 20ACC1 [MW-4],31.59163056,-110.2322889,MW-4,USGS,GW,187.08,null,null,1,USGS,m,2,S,V,A,4,185.98250000000002,Greater,4006
10/22/19,3.1353E+14,D-21-21 20ACC1 [MW-4],31.59163056,-110.2322889,MW-4,USGS,GW,187.84,null,null,1,USGS,m,2,S,V,A,4,186.475,Greater,4009
1/7/20,3.1353E+14,D-21-21 20ACC1 [MW-4],31.59163056,-110.2322889,MW-4,USGS,GW,187.82,null,null,1,USGS,m,2,S,V,A,4,186.62444444444444,Greater,4012
10/18/21,3.1353E+14,D-21-21 20ACC1 [MW-4],31.59163056,-110.2322889,MW-4,USGS,GW,188.47,null,null,1,USGS,m,2,S,V,A,4,187.01777777777778,Greater,4016
10/19/22,3.1353E+14,D-21-21 20ACC1 [MW-4],31.59163056,-110.2322889,MW-4,USGS,GW,189.12,null,null,1,USGS,m,2,S,V,A,4,187.4188888888889,Greater,4019
11/30/23,3.1353E+14,D-21-21 20ACC1 [MW-4],31.59163056,-110.2322889,MW-4,USGS,GW,189.51,null,null,1,USGS,m,2,S,V,A,4,187.9225,Greater,4022
3/29/02,3.13558E+14,D-21-23 17DDA,31.59938889,-110.0223333,null,USGS,GW,607.27,null,null,1,USGS,m,2,S,V,A,1,null,null,4025
3/10/05,3.13558E+14,D-21-23 17DDA,31.59938889,-110.0223333,null,USGS,GW,614.82,null,null,1,USGS,m,2,S,V,A,1,null,null,4026
2/20/08,3.13558E+14,D-21-23 17DDA,31.59938889,-110.0223333,null,USGS,GW,613.94,null,null,1,USGS,m,2,S,V,A,1,null,null,4031
5/3/02,3.13558E+14,D-21-23 17DDA,31.59938889,-110.0223333,null,USGS,GW,607.3,null,null,1,USGS,m,2,S,V,A,2,null,null,4034
6/11/02,3.13558E+14,D-21-23 17DDA,31.59938889,-110.0223333,null,USGS,GW,607.37,null,null,1,USGS,m,2,S,V,A,2,null,null,4037
