system:index,NDVI,day,month,name,year,.geo
LC08_035038_20130417_00000000000000000022_0,0.1450574,17,4,D-22-22 06AAA5 [LSP-5],2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_035038_20130417_00000000000000000021_0,0.76830083,17,4,D-22-22 05BBD2 [LSPUED],2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_035038_20130417_00000000000000000023_0,0.14674172,17,4,D-21-22 19CDB1 [CLRSUS],2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_035038_20130417_00000000000000000026_0,0.15667605,17,4,D-21-21 13BAC1 [MOSWAS],2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_035038_20130417_0000000000000000002d_0,0.11058609,17,4,D-20-21 03CBA [FBK-LI],2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_035038_20130417_00000000000000000000_0,0.57040536,17,4,D-24-22 04CBA3 [PAL-US],2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_035038_20130417_00000000000000000003_0,0.57040536,17,4,D-24-22 04CBA4 [PAL-UD],2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_035038_20130417_00000000000000000007_0,0.54832506,17,4,D-24-22 04CBA1 [PAL-LS],2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_035038_20130417_00000000000000000009_0,0.54832506,17,4,D-24-22 04CBA2 [PAL-LD],2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_035038_20130417_0000000000000000002b_0,0.1392715,17,4,D-20-21 14BCC1 [BOQSUS],2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_035038_20130417_00000000000000000032_0,0.15496524,17,4,D-20-21 14BCC2 [BOQSUD],2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_035038_20130417_00000000000000000037_0,0.27652815,17,4,D-19-21 05AAA1 [STD-LI],2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_035038_20130417_00000000000000000033_0,0.13821071,17,4,D-21-21 02DDC [CHB-LI],2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_035038_20130417_0000000000000000002a_0,0.13440268,17,4,D-22-22 06AAB [LSPUWD],2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_035038_20130417_0000000000000000002f_0,0.16485,17,4,D-20-21 03CAB [FBK-LO],2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_035038_20130417_00000000000000000004_0,0.25834823,17,4,D-24-22 08DBA1 [PLS-LI],2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_035038_20130417_0000000000000000000c_0,0.0042787935,17,4,D-23-22 22CBB1 [KOL-LI],2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_035038_20130503_00000000000000000027_0,0.12400138,3,5,D-22-22 06AAA3 [LSP-3],2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_035038_20130503_00000000000000000028_0,0.12400138,3,5,D-22-22 06AAA7 [LSP-2],2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_035038_20130503_0000000000000000000e_0,0.17001429,3,5,D-23-22 09ACD1 [HERSUS],2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_035038_20130503_0000000000000000000f_0,0.17001429,3,5,D-23-22 09ACD2 [HERSUD],2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_035038_20130503_0000000000000000001c_0,0.1361706,3,5,D-22-22 17BDD2 [COTUWD],2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_035038_20130503_00000000000000000024_0,0.14993252,3,5,D-21-22 19CDB2 [CLRSUD],2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_035038_20130503_00000000000000000010_0,0.33331963,3,5,D-23-22 04DCD1 [HER-LS],2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_035038_20130503_00000000000000000017_0,0.33331963,3,5,D-23-22 04DCD2 [HER-LD],2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_035038_20130503_0000000000000000001e_0,0.14378913,3,5,D-22-22 06ABD [LSP-6],2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_035038_20130503_00000000000000000035_0,0.15918066,3,5,D-19-21 21ACC2 [CONLID],2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_035038_20130503_00000000000000000025_0,0.20416695,3,5,D-21-21 13BAB4 [MOSLNW],2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_035038_20130503_00000000000000000030_0,0.15227087,3,5,D-19-21 28ACD [TOM-LI],2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_035038_20130503_00000000000000000011_0,0.15893358,3,5,D-22-22 33BBC [HUN-UP],2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_035038_20130503_0000000000000000001b_0,0.34160212,3,5,D-22-22 17ACC1 [COT-LS],2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_035038_20130503_00000000000000000020_0,0.34160212,3,5,D-22-22 17ACC2 [COT-LD],2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_035038_20130503_0000000000000000002c_0,0.15302022,3,5,D-20-21 10AAC2 [FBK-UP],2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_035038_20130503_0000000000000000002e_0,0.14274178,3,5,D-20-21 15DDB [BOQ-UP],2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_035038_20130503_0000000000000000001d_0,0.524153,3,5,D-22-22 06AAA1 [LSPLED],2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_035038_20130503_00000000000000000018_0,0.28789717,3,5,D-22-22 17ACC3 [COTBLM],2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_035038_20130503_00000000000000000034_0,0.14701568,3,5,D-20-21 15DBD1 [BOQ-LI],2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_035038_20130503_00000000000000000038_0,0.21422324,3,5,D-19-21 05AAA2 [STD-LO],2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_035038_20130503_00000000000000000019_0,0.34740847,3,5,D-22-22 28CAA1 [HUN-LI],2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_035038_20130503_0000000000000000000b_0,0.30135807,3,5,D-23-22 22CBB2 [KOL-LO],2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_035038_20130503_0000000000000000000d_0,0.238636,3,5,D-23-22 22CBB3 [KOL-UP],2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_035038_20130503_00000000000000000012_0,0.185735,3,5,D-22-22 28CCD [HUN-SO],2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_035038_20130503_00000000000000000002_0,0.47935143,3,5,D-23-22 33DCD2 [PALO DEEP],2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_035038_20130503_0000000000000000000a_0,0.22541471,3,5,D-23-22 33ABD02 [ULLRICH],2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_035038_20130503_00000000000000000036_0,0.33006,3,5,D-19-21 08DAC1 [SUM-LI],2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_035038_20130503_00000000000000000005_0,0.20125243,3,5,D-24-22 08DBA2 [PLS-LO],2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_035038_20130503_00000000000000000006_0,0.16567498,3,5,D-24-22 04ADD [PAL-SA],2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_035038_20130503_00000000000000000013_0,0.16823155,3,5,D-22-22 28CAA2 [HUN-LO],2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_035038_20130503_00000000000000000029_0,0.20347667,3,5,D-21-21 13BAB1 [MOSLNS],2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_035038_20130503_00000000000000000031_0,0.20347667,3,5,D-21-21 13BAB2 [MOSLND],2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_035038_20130503_00000000000000000001_0,0.15535162,3,5,D-24-22 04CBC2 [PALUWD],2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_035038_20130503_00000000000000000008_0,0.15535162,3,5,D-24-22 04CBC1 [PALUWS],2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_035038_20130503_0000000000000000001a_0,0.14252682,3,5,D-22-22 06AAA4 [LSP-4],2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
