system:index,NDVI,day,month,name,year,.geo
LC08_035038_20130503_00000000000000000002_0,0.15897176,3,5,D-23-22 29DBD1 [3-CAN S],2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_035038_20130503_00000000000000000003_0,0.16128534,3,5,D-23-22 29ACB1 [3-CAN N],2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_035038_20130503_00000000000000000004_0,0.16799338,3,5,D-23-23 32BCB [FOUDY],2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_035038_20130503_00000000000000000005_0,0.11766988,3,5,D-23-22 17ACC [HOLDER],2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_035038_20130503_00000000000000000006_0,0.17508392,3,5,D-23-21 06CCC2 [RAMBO],2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_035038_20130503_00000000000000000007_0,0.16863139,3,5,D-22-21 35ADD1 PZ1 [RANCH DEEP],2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_035038_20130503_00000000000000000008_0,0.16863139,3,5,D-22-21 35ADD1 PZ2 [RANCH SHALLOW],2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_035038_20130503_00000000000000000009_0,0.23746541,3,5,D-22-20 26DDC [ANTELOPE 2],2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_035038_20130503_0000000000000000000a_0,0.17944601,3,5,D-22-20 26ABB1 [ANTELOPE 3],2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_035038_20130503_0000000000000000000b_0,0.13879089,3,5,D-22-21 11BDA1 [SB RANCH],2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_035038_20130503_0000000000000000000c_0,0.16577286,3,5,D-21-21 27CBD [BELLA VISTA],2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_035038_20130503_0000000000000000000d_0,0.16387759,3,5,D-22-22 23BCA [MISTY RAY],2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_035038_20130503_0000000000000000000e_0,0.13261205,3,5,D-21-21 20ACC1 [MW-4],2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_035038_20130503_0000000000000000000f_0,0.1562678,3,5,D-21-21 19CDD1 [MW-3],2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_035038_20130503_00000000000000000010_0,0.15827768,3,5,D-21-20 20DCD1 [TW-1] UNSURV,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_035038_20130503_00000000000000000011_0,0.20916653,3,5,D-21-23 17DDA,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
