system:index,EVI,day,month,name,year,.geo
19990101_00000000000000000000_0,0.1343006711857018,1,1,D-24-21 17BCB3 [Baumkirchner 3],1999,"{""type"":""MultiPoint"",""coordinates"":[]}"
19990101_00000000000000000001_0,0.12491047160756044,1,1,D-23-22 33BCC [PALO FH],1999,"{""type"":""MultiPoint"",""coordinates"":[]}"
19990101_00000000000000000002_0,0.28560264583819606,1,1,D-23-22 29DBD1 [3-CAN S],1999,"{""type"":""MultiPoint"",""coordinates"":[]}"
19990101_00000000000000000003_0,0.22253364909925544,1,1,D-23-22 29ACB1 [3-CAN N],1999,"{""type"":""MultiPoint"",""coordinates"":[]}"
19990101_00000000000000000004_0,0.06742427273818573,1,1,D-23-23 32BCB [FOUDY],1999,"{""type"":""MultiPoint"",""coordinates"":[]}"
19990101_00000000000000000005_0,0.07466195116055038,1,1,D-23-22 17ACC [HOLDER],1999,"{""type"":""MultiPoint"",""coordinates"":[]}"
19990101_00000000000000000006_0,0.08614787482348803,1,1,D-23-21 06CCC2 [RAMBO],1999,"{""type"":""MultiPoint"",""coordinates"":[]}"
19990101_00000000000000000007_0,0.09092434234779947,1,1,D-22-21 35ADD1 PZ1 [RANCH DEEP],1999,"{""type"":""MultiPoint"",""coordinates"":[]}"
19990101_00000000000000000008_0,0.09092434234779947,1,1,D-22-21 35ADD1 PZ2 [RANCH SHALLOW],1999,"{""type"":""MultiPoint"",""coordinates"":[]}"
19990101_00000000000000000009_0,0.13424912237184156,1,1,D-22-20 26DDC [ANTELOPE 2],1999,"{""type"":""MultiPoint"",""coordinates"":[]}"
19990101_0000000000000000000a_0,0.09605706755134488,1,1,D-22-20 26ABB1 [ANTELOPE 3],1999,"{""type"":""MultiPoint"",""coordinates"":[]}"
19990101_0000000000000000000b_0,0.07651368258655307,1,1,D-22-21 11BDA1 [SB RANCH],1999,"{""type"":""MultiPoint"",""coordinates"":[]}"
19990101_0000000000000000000c_0,0.08937312180960487,1,1,D-21-21 27CBD [BELLA VISTA],1999,"{""type"":""MultiPoint"",""coordinates"":[]}"
19990101_0000000000000000000d_0,0.07699558513759172,1,1,D-22-22 23BCA [MISTY RAY],1999,"{""type"":""MultiPoint"",""coordinates"":[]}"
19990101_0000000000000000000e_0,0.05991132156703903,1,1,D-21-21 20ACC1 [MW-4],1999,"{""type"":""MultiPoint"",""coordinates"":[]}"
19990101_0000000000000000000f_0,0.072205503568992,1,1,D-21-21 19CDD1 [MW-3],1999,"{""type"":""MultiPoint"",""coordinates"":[]}"
19990101_00000000000000000010_0,0.05135513664699511,1,1,D-21-20 20DCD1 [TW-1] UNSURV,1999,"{""type"":""MultiPoint"",""coordinates"":[]}"
19990101_00000000000000000011_0,0.09385872283332082,1,1,D-21-23 17DDA,1999,"{""type"":""MultiPoint"",""coordinates"":[]}"
19990101_00000000000000000012_0,0.05984775835407449,1,1,D-21-20 14DAD1 [MW-6],1999,"{""type"":""MultiPoint"",""coordinates"":[]}"
19990101_00000000000000000013_0,0.09779134235096523,1,1,D-21-22 13CAD,1999,"{""type"":""MultiPoint"",""coordinates"":[]}"
19990101_00000000000000000014_0,0.07024590588766752,1,1,D-21-20 15ACD1 [TW-4],1999,"{""type"":""MultiPoint"",""coordinates"":[]}"
19990101_00000000000000000015_0,0.06212331781644992,1,1,D-21-21 17BCC1 [TW-9],1999,"{""type"":""MultiPoint"",""coordinates"":[]}"
19990101_00000000000000000016_0,0.060778519686226135,1,1,D-21-20 13CBD1 [TW-8],1999,"{""type"":""MultiPoint"",""coordinates"":[]}"
