system:index,EVI,day,month,name,year,.geo
19990101_0000000000000000002d_0,0.05631573038118426,1,1,D-20-21 03CBA [FBK-LI],1999,"{""type"":""MultiPoint"",""coordinates"":[]}"
19990101_00000000000000000000_0,0.1311567412181046,1,1,D-24-22 04CBA3 [PAL-US],1999,"{""type"":""MultiPoint"",""coordinates"":[]}"
19990101_00000000000000000003_0,0.1311567412181046,1,1,D-24-22 04CBA4 [PAL-UD],1999,"{""type"":""MultiPoint"",""coordinates"":[]}"
19990101_00000000000000000007_0,0.1338253060810108,1,1,D-24-22 04CBA1 [PAL-LS],1999,"{""type"":""MultiPoint"",""coordinates"":[]}"
19990101_00000000000000000009_0,0.1338253060810108,1,1,D-24-22 04CBA2 [PAL-LD],1999,"{""type"":""MultiPoint"",""coordinates"":[]}"
19990101_0000000000000000002b_0,0.07882798306743044,1,1,D-20-21 14BCC1 [BOQSUS],1999,"{""type"":""MultiPoint"",""coordinates"":[]}"
19990101_00000000000000000032_0,0.07882798306743044,1,1,D-20-21 14BCC2 [BOQSUD],1999,"{""type"":""MultiPoint"",""coordinates"":[]}"
19990101_00000000000000000037_0,0.05868982648351684,1,1,D-19-21 05AAA1 [STD-LI],1999,"{""type"":""MultiPoint"",""coordinates"":[]}"
19990101_00000000000000000033_0,0.0585392230436165,1,1,D-21-21 02DDC [CHB-LI],1999,"{""type"":""MultiPoint"",""coordinates"":[]}"
19990101_0000000000000000002a_0,0.08874920012425594,1,1,D-22-22 06AAB [LSPUWD],1999,"{""type"":""MultiPoint"",""coordinates"":[]}"
19990101_0000000000000000002f_0,0.07004031060376319,1,1,D-20-21 03CAB [FBK-LO],1999,"{""type"":""MultiPoint"",""coordinates"":[]}"
19990101_00000000000000000004_0,0.09014882410866598,1,1,D-24-22 08DBA1 [PLS-LI],1999,"{""type"":""MultiPoint"",""coordinates"":[]}"
19990101_0000000000000000000c_0,0.13508110680847646,1,1,D-23-22 22CBB1 [KOL-LI],1999,"{""type"":""MultiPoint"",""coordinates"":[]}"
19990101_00000000000000000015_0,0.06832713334119961,1,1,D-23-22 04DCA1 [HERUWS],1999,"{""type"":""MultiPoint"",""coordinates"":[]}"
19990101_00000000000000000014_0,0.12938016621515577,1,1,D-23-22 04DCD4 [HERUED],1999,"{""type"":""MultiPoint"",""coordinates"":[]}"
19990101_00000000000000000016_0,0.12938016621515577,1,1,D-23-22 04DCD3 [HERUES],1999,"{""type"":""MultiPoint"",""coordinates"":[]}"
19990202_00000000000000000027_0,0.1097337077264872,2,2,D-22-22 06AAA3 [LSP-3],1999,"{""type"":""MultiPoint"",""coordinates"":[]}"
19990202_00000000000000000028_0,0.1097337077264872,2,2,D-22-22 06AAA7 [LSP-2],1999,"{""type"":""MultiPoint"",""coordinates"":[]}"
19990202_0000000000000000000e_0,0.0703782374445042,2,2,D-23-22 09ACD1 [HERSUS],1999,"{""type"":""MultiPoint"",""coordinates"":[]}"
19990202_0000000000000000000f_0,0.0736973394796942,2,2,D-23-22 09ACD2 [HERSUD],1999,"{""type"":""MultiPoint"",""coordinates"":[]}"
19990202_0000000000000000001c_0,0.07071994900195223,2,2,D-22-22 17BDD2 [COTUWD],1999,"{""type"":""MultiPoint"",""coordinates"":[]}"
19990202_00000000000000000024_0,0.07025928681815574,2,2,D-21-22 19CDB2 [CLRSUD],1999,"{""type"":""MultiPoint"",""coordinates"":[]}"
19990202_00000000000000000010_0,0.1364936779769526,2,2,D-23-22 04DCD1 [HER-LS],1999,"{""type"":""MultiPoint"",""coordinates"":[]}"
19990202_00000000000000000017_0,0.1364936779769526,2,2,D-23-22 04DCD2 [HER-LD],1999,"{""type"":""MultiPoint"",""coordinates"":[]}"
19990202_0000000000000000001e_0,0.07965812606601316,2,2,D-22-22 06ABD [LSP-6],1999,"{""type"":""MultiPoint"",""coordinates"":[]}"
19990202_00000000000000000035_0,0.09604525371005132,2,2,D-19-21 21ACC2 [CONLID],1999,"{""type"":""MultiPoint"",""coordinates"":[]}"
19990202_00000000000000000025_0,0.12782031822910447,2,2,D-21-21 13BAB4 [MOSLNW],1999,"{""type"":""MultiPoint"",""coordinates"":[]}"
19990202_00000000000000000030_0,0.06155778894472369,2,2,D-19-21 28ACD [TOM-LI],1999,"{""type"":""MultiPoint"",""coordinates"":[]}"
19990202_00000000000000000011_0,0.06115679635132334,2,2,D-22-22 33BBC [HUN-UP],1999,"{""type"":""MultiPoint"",""coordinates"":[]}"
19990202_0000000000000000001b_0,0.12011622218006444,2,2,D-22-22 17ACC1 [COT-LS],1999,"{""type"":""MultiPoint"",""coordinates"":[]}"
19990202_00000000000000000020_0,0.12011622218006444,2,2,D-22-22 17ACC2 [COT-LD],1999,"{""type"":""MultiPoint"",""coordinates"":[]}"
19990202_0000000000000000002c_0,0.04097765421084299,2,2,D-20-21 10AAC2 [FBK-UP],1999,"{""type"":""MultiPoint"",""coordinates"":[]}"
19990202_0000000000000000002e_0,0.07117455801666327,2,2,D-20-21 15DDB [BOQ-UP],1999,"{""type"":""MultiPoint"",""coordinates"":[]}"
19990202_0000000000000000001d_0,0.13614277705101852,2,2,D-22-22 06AAA1 [LSPLED],1999,"{""type"":""MultiPoint"",""coordinates"":[]}"
19990202_00000000000000000018_0,0.08723333070928119,2,2,D-22-22 17ACC3 [COTBLM],1999,"{""type"":""MultiPoint"",""coordinates"":[]}"
19990202_00000000000000000034_0,0.05656496400411387,2,2,D-20-21 15DBD1 [BOQ-LI],1999,"{""type"":""MultiPoint"",""coordinates"":[]}"
19990202_00000000000000000038_0,0.08311740754450309,2,2,D-19-21 05AAA2 [STD-LO],1999,"{""type"":""MultiPoint"",""coordinates"":[]}"
19990202_00000000000000000019_0,0.0940090851683608,2,2,D-22-22 28CAA1 [HUN-LI],1999,"{""type"":""MultiPoint"",""coordinates"":[]}"
19990202_0000000000000000000b_0,0.10062106791417971,2,2,D-23-22 22CBB2 [KOL-LO],1999,"{""type"":""MultiPoint"",""coordinates"":[]}"
19990202_0000000000000000000d_0,0.08337056744790611,2,2,D-23-22 22CBB3 [KOL-UP],1999,"{""type"":""MultiPoint"",""coordinates"":[]}"
19990202_00000000000000000012_0,0.06562506910811819,2,2,D-22-22 28CCD [HUN-SO],1999,"{""type"":""MultiPoint"",""coordinates"":[]}"
19990202_00000000000000000002_0,0.10751676389893126,2,2,D-23-22 33DCD2 [PALO DEEP],1999,"{""type"":""MultiPoint"",""coordinates"":[]}"
19990202_0000000000000000000a_0,0.10300808408063933,2,2,D-23-22 33ABD02 [ULLRICH],1999,"{""type"":""MultiPoint"",""coordinates"":[]}"
19990202_00000000000000000036_0,0.08818507515717368,2,2,D-19-21 08DAC1 [SUM-LI],1999,"{""type"":""MultiPoint"",""coordinates"":[]}"
19990202_00000000000000000005_0,0.08912962864861998,2,2,D-24-22 08DBA2 [PLS-LO],1999,"{""type"":""MultiPoint"",""coordinates"":[]}"
19990202_00000000000000000006_0,0.0811191322095396,2,2,D-24-22 04ADD [PAL-SA],1999,"{""type"":""MultiPoint"",""coordinates"":[]}"
19990202_00000000000000000013_0,0.07539766498047737,2,2,D-22-22 28CAA2 [HUN-LO],1999,"{""type"":""MultiPoint"",""coordinates"":[]}"
19990202_00000000000000000029_0,0.08884696788442073,2,2,D-21-21 13BAB1 [MOSLNS],1999,"{""type"":""MultiPoint"",""coordinates"":[]}"
19990202_00000000000000000031_0,0.08884696788442073,2,2,D-21-21 13BAB2 [MOSLND],1999,"{""type"":""MultiPoint"",""coordinates"":[]}"
19990202_00000000000000000001_0,0.0819610871677337,2,2,D-24-22 04CBC2 [PALUWD],1999,"{""type"":""MultiPoint"",""coordinates"":[]}"
19990202_00000000000000000008_0,0.0819610871677337,2,2,D-24-22 04CBC1 [PALUWS],1999,"{""type"":""MultiPoint"",""coordinates"":[]}"
19990202_0000000000000000001a_0,0.08957817768274028,2,2,D-22-22 06AAA4 [LSP-4],1999,"{""type"":""MultiPoint"",""coordinates"":[]}"
19990202_0000000000000000001f_0,0.08957817768274028,2,2,D-22-22 06AAA6 [LSP-1],1999,"{""type"":""MultiPoint"",""coordinates"":[]}"
19990202_00000000000000000022_0,0.08957817768274028,2,2,D-22-22 06AAA5 [LSP-5],1999,"{""type"":""MultiPoint"",""coordinates"":[]}"
19990202_00000000000000000021_0,0.15119321750052336,2,2,D-22-22 05BBD2 [LSPUED],1999,"{""type"":""MultiPoint"",""coordinates"":[]}"
19990202_00000000000000000023_0,0.07025928681815574,2,2,D-21-22 19CDB1 [CLRSUS],1999,"{""type"":""MultiPoint"",""coordinates"":[]}"
19990202_00000000000000000026_0,0.0830005054359137,2,2,D-21-21 13BAC1 [MOSWAS],1999,"{""type"":""MultiPoint"",""coordinates"":[]}"
19990202_0000000000000000002d_0,0.03844168035672378,2,2,D-20-21 03CBA [FBK-LI],1999,"{""type"":""MultiPoint"",""coordinates"":[]}"
19990202_00000000000000000000_0,0.13663157685464078,2,2,D-24-22 04CBA3 [PAL-US],1999,"{""type"":""MultiPoint"",""coordinates"":[]}"
19990202_00000000000000000003_0,0.13663157685464078,2,2,D-24-22 04CBA4 [PAL-UD],1999,"{""type"":""MultiPoint"",""coordinates"":[]}"
19990202_00000000000000000007_0,0.14413096163519146,2,2,D-24-22 04CBA1 [PAL-LS],1999,"{""type"":""MultiPoint"",""coordinates"":[]}"
19990202_00000000000000000009_0,0.14413096163519146,2,2,D-24-22 04CBA2 [PAL-LD],1999,"{""type"":""MultiPoint"",""coordinates"":[]}"
19990202_0000000000000000002b_0,0.0722955697693698,2,2,D-20-21 14BCC1 [BOQSUS],1999,"{""type"":""MultiPoint"",""coordinates"":[]}"
19990202_00000000000000000032_0,0.0722955697693698,2,2,D-20-21 14BCC2 [BOQSUD],1999,"{""type"":""MultiPoint"",""coordinates"":[]}"
19990202_00000000000000000037_0,0.055563613643210136,2,2,D-19-21 05AAA1 [STD-LI],1999,"{""type"":""MultiPoint"",""coordinates"":[]}"
19990202_00000000000000000033_0,0.09727218907964845,2,2,D-21-21 02DDC [CHB-LI],1999,"{""type"":""MultiPoint"",""coordinates"":[]}"
19990202_0000000000000000002a_0,0.10301526717557254,2,2,D-22-22 06AAB [LSPUWD],1999,"{""type"":""MultiPoint"",""coordinates"":[]}"
19990202_0000000000000000002f_0,0.07503299827393642,2,2,D-20-21 03CAB [FBK-LO],1999,"{""type"":""MultiPoint"",""coordinates"":[]}"
19990202_00000000000000000004_0,0.09174432455156951,2,2,D-24-22 08DBA1 [PLS-LI],1999,"{""type"":""MultiPoint"",""coordinates"":[]}"
19990202_0000000000000000000c_0,0.14205221081901825,2,2,D-23-22 22CBB1 [KOL-LI],1999,"{""type"":""MultiPoint"",""coordinates"":[]}"
19990202_00000000000000000015_0,0.06555948335797736,2,2,D-23-22 04DCA1 [HERUWS],1999,"{""type"":""MultiPoint"",""coordinates"":[]}"
19990202_00000000000000000014_0,0.11405668985410553,2,2,D-23-22 04DCD4 [HERUED],1999,"{""type"":""MultiPoint"",""coordinates"":[]}"
19990202_00000000000000000016_0,0.11405668985410553,2,2,D-23-22 04DCD3 [HERUES],1999,"{""type"":""MultiPoint"",""coordinates"":[]}"
19990306_00000000000000000027_0,0.09861522083388523,6,3,D-22-22 06AAA3 [LSP-3],1999,"{""type"":""MultiPoint"",""coordinates"":[]}"
19990306_00000000000000000028_0,0.09861522083388523,6,3,D-22-22 06AAA7 [LSP-2],1999,"{""type"":""MultiPoint"",""coordinates"":[]}"
19990306_0000000000000000000e_0,0.0675064964410801,6,3,D-23-22 09ACD1 [HERSUS],1999,"{""type"":""MultiPoint"",""coordinates"":[]}"
19990306_0000000000000000000f_0,0.06905361542727785,6,3,D-23-22 09ACD2 [HERSUD],1999,"{""type"":""MultiPoint"",""coordinates"":[]}"
19990306_0000000000000000001c_0,0.0650150915988103,6,3,D-22-22 17BDD2 [COTUWD],1999,"{""type"":""MultiPoint"",""coordinates"":[]}"
19990306_00000000000000000024_0,0.07381984989994132,6,3,D-21-22 19CDB2 [CLRSUD],1999,"{""type"":""MultiPoint"",""coordinates"":[]}"
19990306_00000000000000000010_0,0.10653750601057861,6,3,D-23-22 04DCD1 [HER-LS],1999,"{""type"":""MultiPoint"",""coordinates"":[]}"
19990306_00000000000000000017_0,0.10653750601057861,6,3,D-23-22 04DCD2 [HER-LD],1999,"{""type"":""MultiPoint"",""coordinates"":[]}"
19990306_0000000000000000001e_0,0.08516555238837134,6,3,D-22-22 06ABD [LSP-6],1999,"{""type"":""MultiPoint"",""coordinates"":[]}"
19990306_00000000000000000035_0,0.09584057599331307,6,3,D-19-21 21ACC2 [CONLID],1999,"{""type"":""MultiPoint"",""coordinates"":[]}"
19990306_00000000000000000025_0,0.13526038347911734,6,3,D-21-21 13BAB4 [MOSLNW],1999,"{""type"":""MultiPoint"",""coordinates"":[]}"
19990306_00000000000000000030_0,0.049522934407487805,6,3,D-19-21 28ACD [TOM-LI],1999,"{""type"":""MultiPoint"",""coordinates"":[]}"
19990306_00000000000000000011_0,0.06702566975414492,6,3,D-22-22 33BBC [HUN-UP],1999,"{""type"":""MultiPoint"",""coordinates"":[]}"
19990306_0000000000000000001b_0,0.14085404098560664,6,3,D-22-22 17ACC1 [COT-LS],1999,"{""type"":""MultiPoint"",""coordinates"":[]}"
19990306_00000000000000000020_0,0.14085404098560664,6,3,D-22-22 17ACC2 [COT-LD],1999,"{""type"":""MultiPoint"",""coordinates"":[]}"
19990306_0000000000000000002c_0,0.04688237242874785,6,3,D-20-21 10AAC2 [FBK-UP],1999,"{""type"":""MultiPoint"",""coordinates"":[]}"
19990306_0000000000000000002e_0,0.06324781084919637,6,3,D-20-21 15DDB [BOQ-UP],1999,"{""type"":""MultiPoint"",""coordinates"":[]}"
19990306_0000000000000000001d_0,0.1443050903598997,6,3,D-22-22 06AAA1 [LSPLED],1999,"{""type"":""MultiPoint"",""coordinates"":[]}"
19990306_00000000000000000018_0,0.11750921318562202,6,3,D-22-22 17ACC3 [COTBLM],1999,"{""type"":""MultiPoint"",""coordinates"":[]}"
19990306_00000000000000000034_0,0.06254985309114408,6,3,D-20-21 15DBD1 [BOQ-LI],1999,"{""type"":""MultiPoint"",""coordinates"":[]}"
19990306_00000000000000000019_0,0.10484136476064627,6,3,D-22-22 28CAA1 [HUN-LI],1999,"{""type"":""MultiPoint"",""coordinates"":[]}"
19990306_0000000000000000000b_0,0.08377560057208588,6,3,D-23-22 22CBB2 [KOL-LO],1999,"{""type"":""MultiPoint"",""coordinates"":[]}"
19990306_0000000000000000000d_0,0.06703722178731453,6,3,D-23-22 22CBB3 [KOL-UP],1999,"{""type"":""MultiPoint"",""coordinates"":[]}"
19990306_00000000000000000012_0,0.06458259383336498,6,3,D-22-22 28CCD [HUN-SO],1999,"{""type"":""MultiPoint"",""coordinates"":[]}"
19990306_00000000000000000002_0,0.25045200060874795,6,3,D-23-22 33DCD2 [PALO DEEP],1999,"{""type"":""MultiPoint"",""coordinates"":[]}"
19990306_0000000000000000000a_0,0.09157864474181641,6,3,D-23-22 33ABD02 [ULLRICH],1999,"{""type"":""MultiPoint"",""coordinates"":[]}"
19990306_00000000000000000036_0,0.09435269890301372,6,3,D-19-21 08DAC1 [SUM-LI],1999,"{""type"":""MultiPoint"",""coordinates"":[]}"
19990306_00000000000000000005_0,0.1149266728167812,6,3,D-24-22 08DBA2 [PLS-LO],1999,"{""type"":""MultiPoint"",""coordinates"":[]}"
19990306_00000000000000000006_0,0.08265088799579395,6,3,D-24-22 04ADD [PAL-SA],1999,"{""type"":""MultiPoint"",""coordinates"":[]}"
19990306_00000000000000000013_0,0.06968841443662635,6,3,D-22-22 28CAA2 [HUN-LO],1999,"{""type"":""MultiPoint"",""coordinates"":[]}"
19990306_00000000000000000029_0,0.10510541797387177,6,3,D-21-21 13BAB1 [MOSLNS],1999,"{""type"":""MultiPoint"",""coordinates"":[]}"
19990306_00000000000000000031_0,0.10510541797387177,6,3,D-21-21 13BAB2 [MOSLND],1999,"{""type"":""MultiPoint"",""coordinates"":[]}"
19990306_00000000000000000001_0,0.07176085993385783,6,3,D-24-22 04CBC2 [PALUWD],1999,"{""type"":""MultiPoint"",""coordinates"":[]}"
19990306_00000000000000000008_0,0.07176085993385783,6,3,D-24-22 04CBC1 [PALUWS],1999,"{""type"":""MultiPoint"",""coordinates"":[]}"
19990306_0000000000000000001a_0,0.09056220485957209,6,3,D-22-22 06AAA4 [LSP-4],1999,"{""type"":""MultiPoint"",""coordinates"":[]}"
19990306_0000000000000000001f_0,0.09056220485957209,6,3,D-22-22 06AAA6 [LSP-1],1999,"{""type"":""MultiPoint"",""coordinates"":[]}"
19990306_00000000000000000022_0,0.09056220485957209,6,3,D-22-22 06AAA5 [LSP-5],1999,"{""type"":""MultiPoint"",""coordinates"":[]}"
19990306_00000000000000000021_0,0.18156663773109105,6,3,D-22-22 05BBD2 [LSPUED],1999,"{""type"":""MultiPoint"",""coordinates"":[]}"
19990306_00000000000000000023_0,0.07381984989994132,6,3,D-21-22 19CDB1 [CLRSUS],1999,"{""type"":""MultiPoint"",""coordinates"":[]}"
19990306_00000000000000000026_0,0.10125684944629657,6,3,D-21-21 13BAC1 [MOSWAS],1999,"{""type"":""MultiPoint"",""coordinates"":[]}"
19990306_0000000000000000002d_0,0.045707140872464594,6,3,D-20-21 03CBA [FBK-LI],1999,"{""type"":""MultiPoint"",""coordinates"":[]}"
19990306_00000000000000000000_0,0.20083198030413973,6,3,D-24-22 04CBA3 [PAL-US],1999,"{""type"":""MultiPoint"",""coordinates"":[]}"
19990306_00000000000000000003_0,0.20083198030413973,6,3,D-24-22 04CBA4 [PAL-UD],1999,"{""type"":""MultiPoint"",""coordinates"":[]}"
19990306_00000000000000000007_0,0.18078820674014243,6,3,D-24-22 04CBA1 [PAL-LS],1999,"{""type"":""MultiPoint"",""coordinates"":[]}"
19990306_00000000000000000009_0,0.18078820674014243,6,3,D-24-22 04CBA2 [PAL-LD],1999,"{""type"":""MultiPoint"",""coordinates"":[]}"
19990306_0000000000000000002b_0,0.07638452644324875,6,3,D-20-21 14BCC1 [BOQSUS],1999,"{""type"":""MultiPoint"",""coordinates"":[]}"
19990306_00000000000000000032_0,0.07638452644324875,6,3,D-20-21 14BCC2 [BOQSUD],1999,"{""type"":""MultiPoint"",""coordinates"":[]}"
19990306_00000000000000000033_0,0.07437622250846818,6,3,D-21-21 02DDC [CHB-LI],1999,"{""type"":""MultiPoint"",""coordinates"":[]}"
19990306_0000000000000000002a_0,0.09343064688658678,6,3,D-22-22 06AAB [LSPUWD],1999,"{""type"":""MultiPoint"",""coordinates"":[]}"
19990306_0000000000000000002f_0,0.07285835194305931,6,3,D-20-21 03CAB [FBK-LO],1999,"{""type"":""MultiPoint"",""coordinates"":[]}"
19990306_00000000000000000004_0,0.09840144151292737,6,3,D-24-22 08DBA1 [PLS-LI],1999,"{""type"":""MultiPoint"",""coordinates"":[]}"
19990306_0000000000000000000c_0,0.12190739444271473,6,3,D-23-22 22CBB1 [KOL-LI],1999,"{""type"":""MultiPoint"",""coordinates"":[]}"
19990306_00000000000000000015_0,0.06269946330901291,6,3,D-23-22 04DCA1 [HERUWS],1999,"{""type"":""MultiPoint"",""coordinates"":[]}"
19990306_00000000000000000014_0,0.1057331303906647,6,3,D-23-22 04DCD4 [HERUED],1999,"{""type"":""MultiPoint"",""coordinates"":[]}"
19990306_00000000000000000016_0,0.1057331303906647,6,3,D-23-22 04DCD3 [HERUES],1999,"{""type"":""MultiPoint"",""coordinates"":[]}"
19990407_00000000000000000027_0,0.0910813751558255,7,4,D-22-22 06AAA3 [LSP-3],1999,"{""type"":""MultiPoint"",""coordinates"":[]}"
19990407_00000000000000000028_0,0.0910813751558255,7,4,D-22-22 06AAA7 [LSP-2],1999,"{""type"":""MultiPoint"",""coordinates"":[]}"
19990407_0000000000000000000e_0,0.06591569707599448,7,4,D-23-22 09ACD1 [HERSUS],1999,"{""type"":""MultiPoint"",""coordinates"":[]}"
19990407_0000000000000000000f_0,0.06683669308501564,7,4,D-23-22 09ACD2 [HERSUD],1999,"{""type"":""MultiPoint"",""coordinates"":[]}"
19990407_0000000000000000001c_0,0.07410757133891988,7,4,D-22-22 17BDD2 [COTUWD],1999,"{""type"":""MultiPoint"",""coordinates"":[]}"
19990407_00000000000000000024_0,0.07071118467231081,7,4,D-21-22 19CDB2 [CLRSUD],1999,"{""type"":""MultiPoint"",""coordinates"":[]}"
19990407_00000000000000000010_0,0.15194648067753191,7,4,D-23-22 04DCD1 [HER-LS],1999,"{""type"":""MultiPoint"",""coordinates"":[]}"
19990407_00000000000000000017_0,0.15194648067753191,7,4,D-23-22 04DCD2 [HER-LD],1999,"{""type"":""MultiPoint"",""coordinates"":[]}"
19990407_0000000000000000001e_0,0.08613187945088709,7,4,D-22-22 06ABD [LSP-6],1999,"{""type"":""MultiPoint"",""coordinates"":[]}"
19990407_00000000000000000035_0,0.08657297996415791,7,4,D-19-21 21ACC2 [CONLID],1999,"{""type"":""MultiPoint"",""coordinates"":[]}"
19990407_00000000000000000025_0,0.1483848774624959,7,4,D-21-21 13BAB4 [MOSLNW],1999,"{""type"":""MultiPoint"",""coordinates"":[]}"
19990407_00000000000000000030_0,0.06368819845575525,7,4,D-19-21 28ACD [TOM-LI],1999,"{""type"":""MultiPoint"",""coordinates"":[]}"
19990407_00000000000000000011_0,0.06824953445065175,7,4,D-22-22 33BBC [HUN-UP],1999,"{""type"":""MultiPoint"",""coordinates"":[]}"
