name,date,ppt
wg_rg001,2000-04-24T07:00:00Z,0
wg_rg001,2000-04-25T07:00:00Z,0
wg_rg001,2000-04-26T07:00:00Z,0
wg_rg001,2000-04-27T07:00:00Z,0
wg_rg001,2000-04-28T07:00:00Z,0
wg_rg001,2000-04-29T07:00:00Z,0
wg_rg001,2000-04-30T07:00:00Z,0
wg_rg001,2000-05-01T07:00:00Z,0
wg_rg001,2000-05-02T07:00:00Z,0
wg_rg001,2000-05-03T07:00:00Z,0
wg_rg001,2000-05-04T07:00:00Z,0
wg_rg001,2000-05-05T07:00:00Z,0
wg_rg001,2000-05-06T07:00:00Z,0
wg_rg001,2000-05-07T07:00:00Z,0
wg_rg001,2000-05-08T07:00:00Z,0
wg_rg001,2000-05-09T07:00:00Z,0
wg_rg001,2000-05-10T07:00:00Z,0
wg_rg001,2000-05-11T07:00:00Z,0
wg_rg001,2000-05-12T07:00:00Z,0
wg_rg001,2000-05-13T07:00:00Z,0
wg_rg001,2000-05-14T07:00:00Z,0
wg_rg001,2000-05-15T07:00:00Z,0
wg_rg001,2000-05-16T07:00:00Z,0
wg_rg001,2000-05-17T07:00:00Z,0
wg_rg001,2000-05-18T07:00:00Z,0
wg_rg001,2000-05-19T07:00:00Z,0
wg_rg001,2000-05-20T07:00:00Z,0
wg_rg001,2000-05-21T07:00:00Z,0
wg_rg001,2000-05-22T07:00:00Z,0
wg_rg001,2000-05-23T07:00:00Z,0
wg_rg001,2000-05-24T07:00:00Z,0
wg_rg001,2000-05-25T07:00:00Z,0
wg_rg001,2000-05-26T07:00:00Z,0
wg_rg001,2000-05-27T07:00:00Z,0
wg_rg001,2000-05-28T07:00:00Z,0
wg_rg001,2000-05-29T07:00:00Z,0
wg_rg001,2000-05-30T07:00:00Z,0
wg_rg001,2000-05-31T07:00:00Z,0
wg_rg001,2000-06-01T07:00:00Z,0
wg_rg001,2000-06-02T07:00:00Z,11.73799991607666
wg_rg001,2000-06-03T07:00:00Z,0
wg_rg001,2000-06-04T07:00:00Z,0
wg_rg001,2000-06-05T07:00:00Z,0
wg_rg001,2000-06-06T07:00:00Z,0
wg_rg001,2000-06-07T07:00:00Z,1.5700000524520874
wg_rg001,2000-06-08T07:00:00Z,0
wg_rg001,2000-06-09T07:00:00Z,0.48899999260902405
wg_rg001,2000-06-10T07:00:00Z,0
wg_rg001,2000-06-11T07:00:00Z,0
wg_rg001,2000-06-12T07:00:00Z,0
wg_rg001,2000-06-13T07:00:00Z,0
wg_rg001,2000-06-14T07:00:00Z,0
wg_rg001,2000-06-15T07:00:00Z,0
wg_rg001,2000-06-16T07:00:00Z,0
wg_rg001,2000-06-17T07:00:00Z,0
wg_rg001,2000-06-18T07:00:00Z,8.213000297546387
wg_rg001,2000-06-19T07:00:00Z,0.21899999678134918
wg_rg001,2000-06-20T07:00:00Z,4.769999980926514
wg_rg001,2000-06-21T07:00:00Z,1.6790000200271606
wg_rg001,2000-06-22T07:00:00Z,0.7039999961853027
wg_rg001,2000-06-23T07:00:00Z,7.001999855041504
wg_rg001,2000-06-24T07:00:00Z,9.732000350952148
wg_rg001,2000-06-25T07:00:00Z,0
wg_rg001,2000-06-26T07:00:00Z,0
wg_rg001,2000-06-27T07:00:00Z,0
wg_rg001,2000-06-28T07:00:00Z,14.586999893188477
wg_rg001,2000-06-29T07:00:00Z,0
wg_rg001,2000-06-30T07:00:00Z,8.776000022888184
wg_rg001,2000-07-01T07:00:00Z,0.024000000208616257
wg_rg001,2000-07-02T07:00:00Z,1.899999976158142
wg_rg001,2000-07-03T07:00:00Z,2.196000099182129
wg_rg001,2000-07-04T07:00:00Z,0
wg_rg001,2000-07-05T07:00:00Z,0
wg_rg001,2000-07-06T07:00:00Z,0
wg_rg001,2000-07-07T07:00:00Z,0
wg_rg001,2000-07-08T07:00:00Z,8.736000061035156
wg_rg001,2000-07-09T07:00:00Z,0
wg_rg001,2000-07-10T07:00:00Z,1.3530000448226929
wg_rg001,2000-07-11T07:00:00Z,0
wg_rg001,2000-07-12T07:00:00Z,0
wg_rg001,2000-07-13T07:00:00Z,0
wg_rg001,2000-07-14T07:00:00Z,3.878000020980835
wg_rg001,2000-07-15T07:00:00Z,0
wg_rg001,2000-07-16T07:00:00Z,2.7200000286102295
wg_rg001,2000-07-17T07:00:00Z,1.0499999523162842
wg_rg001,2000-07-18T07:00:00Z,0
wg_rg001,2000-07-19T07:00:00Z,0
wg_rg001,2000-07-20T07:00:00Z,0
wg_rg001,2000-07-21T07:00:00Z,0
wg_rg001,2000-07-22T07:00:00Z,0.1809999942779541
wg_rg001,2000-07-23T07:00:00Z,8.07800006866455
wg_rg001,2000-07-24T07:00:00Z,0
wg_rg001,2000-07-25T07:00:00Z,0
wg_rg001,2000-07-26T07:00:00Z,0
wg_rg001,2000-07-27T07:00:00Z,0
wg_rg001,2000-07-28T07:00:00Z,2.302999973297119
wg_rg001,2000-07-29T07:00:00Z,4.822000026702881
wg_rg001,2000-07-30T07:00:00Z,0
wg_rg001,2000-07-31T07:00:00Z,1.2740000486373901
wg_rg001,2000-08-01T07:00:00Z,0.5479999780654907
wg_rg001,2000-08-02T07:00:00Z,0
wg_rg001,2000-08-03T07:00:00Z,0
wg_rg001,2000-08-04T07:00:00Z,5.515999794006348
wg_rg001,2000-08-05T07:00:00Z,0.9480000138282776
wg_rg001,2000-08-06T07:00:00Z,0.8330000042915344
wg_rg001,2000-08-07T07:00:00Z,9.246999740600586
wg_rg001,2000-08-08T07:00:00Z,5.7170000076293945
wg_rg001,2000-08-09T07:00:00Z,0
wg_rg001,2000-08-10T07:00:00Z,5.618000030517578
wg_rg001,2000-08-11T07:00:00Z,2.5910000801086426
