0,DATE,D0,D1,D2,D3,D4,-9,W0,W1,W2,W3,W4
0,d_19020701,100,100,100,100,100,0,0,0,0,0,0
0,d_19020801,100,100,100,100,98.4,0,0,0,0,0,0
0,d_19020901,100,100,100,100,84.5,0,0,0,0,0,0
0,d_19021001,100,100,100,100,78.3,0,0,0,0,0,0
0,d_19021101,100,100,75.2,26.1,5.5,0,0,0,0,0,0
7.3,d_19021201,92.7,70.9,5.8,1.1,0,0,0,0,0,0,0
5.4,d_19030101,94.6,87.4,10.3,2.1,0,0,0,0,0,0,0
6.9,d_19030201,93.1,86,5.6,0.6,0,0,0,0,0,0,0
13.3,d_19030301,86.7,20.6,0.5,0,0,0,0,0,0,0,0
94.4,d_19030401,0,0,0,0,0,0,5.6,0,0,0,0
97.8,d_19030501,0,0,0,0,0,0,2.2,0,0,0,0
90.3,d_19030601,0,0,0,0,0,0,9.7,0.1,0,0,0
90.5,d_19030701,1.1,0,0,0,0,0,8.4,1.2,0,0,0
95.4,d_19030801,4.6,0,0,0,0,0,0,0,0,0,0
39.3,d_19030901,60.6,6.5,0,0,0,0,0,0,0,0,0
38.7,d_19031001,61.3,6.9,0,0,0,0,0,0,0,0,0
7.1,d_19031101,92.9,49.2,0.5,0,0,0,0,0,0,0,0
0,d_19031201,100,98,63.2,5.3,0,0,0,0,0,0,0
0,d_19040101,100,99.9,85.5,35.5,0,0,0,0,0,0,0
0,d_19040201,100,100,93.8,65.8,2.9,0,0,0,0,0,0
0,d_19040301,100,100,99.5,92.2,49.3,0,0,0,0,0,0
0,d_19040401,100,100,89.3,57.4,0.7,0,0,0,0,0,0
0,d_19040501,100,100,99.7,76.1,10,0,0,0,0,0,0
0,d_19040601,100,100,100,100,88.8,0,0,0,0,0,0
0,d_19040701,100,99.1,89.5,80.8,43,0,0,0,0,0,0
16.9,d_19040801,82.5,53.6,19,3.5,0,0,0.7,0,0,0,0
19.2,d_19040901,80.1,47,8.9,0,0,0,0.7,0,0,0,0
78.6,d_19041001,14.9,0,0,0,0,0,6.5,1.8,0,0,0
81.6,d_19041101,14,0,0,0,0,0,4.3,0.8,0,0,0
93.2,d_19041201,0,0,0,0,0,0,6.8,1.5,0,0,0
34.7,d_19050101,0,0,0,0,0,0,65.3,10.9,0,0,0
0.8,d_19050201,0,0,0,0,0,0,99.2,93.8,28,4.2,0
0,d_19050301,0,0,0,0,0,0,100.1,100.1,96.8,85.7,26
0,d_19050401,0,0,0,0,0,0,100,100,100,97.3,79.3
0,d_19050501,0,0,0,0,0,0,100,100,100,99.7,37.6
0,d_19050601,0,0,0,0,0,0,100,100,100,100,100
0,d_19050701,0,0,0,0,0,0,100,100,100,99.4,73.9
0,d_19050801,0,0,0,0,0,0,100,100,100,100,93.2
0,d_19050901,0,0,0,0,0,0,100,100,100,100,99.4
0,d_19051001,0,0,0,0,0,0,100,100,100,96.4,82.3
0,d_19051101,0,0,0,0,0,0,100,100,100,96,64.5
0,d_19051201,0,0,0,0,0,0,100.1,100.1,26.2,0.5,0
12.1,d_19060101,0,0,0,0,0,0,87.9,21.6,0,0,0
0,d_19060201,0,0,0,0,0,0,100,72.3,0.8,0,0
4.2,d_19060301,0,0,0,0,0,0,95.8,34.8,0,0,0
0,d_19060401,0,0,0,0,0,0,100,97.6,6,0,0
0,d_19060501,0,0,0,0,0,0,100,99.4,8.7,0,0
0,d_19060601,0,0,0,0,0,0,100,47.5,0,0,0
4.6,d_19060701,0,0,0,0,0,0,95.4,33,0,0,0
86.7,d_19060801,0,0,0,0,0,0,13.4,3.3,0,0,0
62.6,d_19060901,35.1,6.9,0,0,0,0,2.3,0,0,0,0
53.8,d_19061001,46,15,0,0,0,0,0.2,0,0,0,0
18.2,d_19061101,81.8,44.1,0,0,0,0,0,0,0,0,0
85.2,d_19061201,0,0,0,0,0,0,14.8,6.8,0,0,0
2,d_19070101,0,0,0,0,0,0,98,66.5,12.6,1.9,0
2.5,d_19070201,0,0,0,0,0,0,97.6,61.3,8.4,0.5,0
1.8,d_19070301,0,0,0,0,0,0,98.2,64.2,3.6,0,0
0,d_19070401,0,0,0,0,0,0,99.9,89.5,6,0,0
0,d_19070501,0,0,0,0,0,0,99.9,96.8,11.6,0,0
0,d_19070601,0,0,0,0,0,0,100,100,49.8,12.4,0
0,d_19070701,0,0,0,0,0,0,100,100,85.6,29.3,8.2
0,d_19070801,0,0,0,0,0,0,100,100,97.7,79,22.4
10.2,d_19070901,0,0,0,0,0,0,89.9,83.1,33.4,14.6,6.5
56,d_19071001,0.3,0,0,0,0,0,43.7,17.4,0.3,0,0
14.8,d_19071101,0,0,0,0,0,0,85.2,61.3,10.9,1.7,0
35.1,d_19071201,0.1,0,0,0,0,0,64.8,30.1,2.2,0,0
39.6,d_19080101,0,0,0,0,0,0,60.4,17.7,0,0,0
39.8,d_19080201,0,0,0,0,0,0,60.3,23.8,1,0,0
29.1,d_19080301,0,0,0,0,0,0,70.8,36.6,2,0,0
15.5,d_19080401,0,0,0,0,0,0,84.5,32.1,0,0,0
72.1,d_19080501,0,0,0,0,0,0,27.9,0,0,0,0
60.9,d_19080601,0,0,0,0,0,0,39.1,0,0,0,0
33.7,d_19080701,0,0,0,0,0,0,66.3,11,0,0,0
69.1,d_19080801,0,0,0,0,0,0,30.9,2.6,0,0,0
58.3,d_19080901,0,0,0,0,0,0,41.7,10.5,0.1,0,0
77.7,d_19081001,2.8,0,0,0,0,0,19.5,3.2,0,0,0
70,d_19081101,30,2.1,0,0,0,0,0.1,0,0,0,0
93.8,d_19081201,5.5,0,0,0,0,0,0.7,0,0,0,0
56.5,d_19090101,43.3,5,0,0,0,0,0.1,0,0,0,0
77.9,d_19090201,22,1.2,0,0,0,0,0.1,0,0,0,0
96.9,d_19090301,0.8,0,0,0,0,0,2.3,0,0,0,0
95.8,d_19090401,4.2,0,0,0,0,0,0,0,0,0,0
52.1,d_19090501,47.9,2.9,0,0,0,0,0,0,0,0,0
99.4,d_19090601,0.6,0,0,0,0,0,0,0,0,0,0
76.2,d_19090701,0,0,0,0,0,0,23.9,0.6,0,0,0
0.7,d_19090801,0,0,0,0,0,0,99.3,69.9,0.3,0,0
22.3,d_19090901,0,0,0,0,0,0,77.7,50,0,0,0
25.2,d_19091001,0,0,0,0,0,0,74.9,39.7,0,0,0
51.4,d_19091101,0,0,0,0,0,0,48.6,6.1,0,0,0
98.9,d_19091201,0,0,0,0,0,0,1.1,0,0,0,0
100,d_19100101,0,0,0,0,0,0,0,0,0,0,0
99.1,d_19100201,0.9,0,0,0,0,0,0,0,0,0,0
75.8,d_19100301,24.2,1.4,0,0,0,0,0,0,0,0,0
29.9,d_19100401,70.1,26.8,0,0,0,0,0,0,0,0,0
0,d_19100501,99.9,99.9,89.9,3.2,0,0,0,0,0,0,0
0,d_19100601,100,100,55.1,0,0,0,0,0,0,0,0
18.5,d_19100701,81.5,21,0,0,0,0,0,0,0,0,0
8.4,d_19100801,91.7,64.1,3.9,0,0,0,0,0,0,0,0
1,d_19100901,99,88.8,40.6,7,0,0,0,0,0,0,0
0.7,d_19101001,99.3,90.1,53.2,28.8,4.3,0,0,0,0,0,0
13.5,d_19101101,86.5,58,2.2,0,0,0,0,0,0,0,0
7.4,d_19101201,92.7,70.1,2.9,0,0,0,0,0,0,0,0
18.7,d_19110101,81.3,17.4,0,0,0,0,0,0,0,0,0
98.9,d_19110201,1.1,0,0,0,0,0,0,0,0,0,0
89.1,d_19110301,10.8,1.6,0,0,0,0,0,0,0,0,0
84.2,d_19110401,15.8,4.2,0,0,0,0,0,0,0,0,0
97.2,d_19110501,2.8,0,0,0,0,0,0,0,0,0,0
43.2,d_19110601,0,0,0,0,0,0,56.8,8.4,0,0,0
28.7,d_19110701,0,0,0,0,0,0,71.3,54.1,6.7,0,0
43.8,d_19110801,0.7,0,0,0,0,0,55.5,37.9,2.9,0,0
4.2,d_19110901,0,0,0,0,0,0,95.9,83.5,51.8,31.2,10.7
0,d_19111001,0,0,0,0,0,0,100.1,98.3,73.5,38.5,10.5
16.6,d_19111101,0,0,0,0,0,0,83.4,43.1,5.2,0.1,0
12.6,d_19111201,0,0,0,0,0,0,87.4,57.4,9.9,0.6,0
47.4,d_19120101,0,0,0,0,0,0,52.6,17.9,0.1,0,0
