date,name,well,level,szn,dtg_mean,dtg_sd,dtg_cv,dtg_z,method
2015-09-29T07:00:00Z,D-24-21 17BCB3 [Baumkirchner 3],Upland,32.57,JAS,33.654347826086955,1.5034228404391594,0.04467246990517495,-0.7212527287201581,seasonal stats
2001-03-01T07:00:00Z,D-24-21 17BCB3 [Baumkirchner 3],Upland,32.05,JFM,33.2868,1.5450423942403653,0.04641606865905901,-0.8004958340370244,seasonal stats
2002-01-16T07:00:00Z,D-24-21 17BCB3 [Baumkirchner 3],Upland,34.51,JFM,33.2868,1.5450423942403653,0.04641606865905901,0.7916934865734842,seasonal stats
2006-03-10T07:00:00Z,D-24-21 17BCB3 [Baumkirchner 3],Upland,35.88,JFM,33.2868,1.5450423942403653,0.04641606865905901,1.678400547238689,seasonal stats
2007-02-21T07:00:00Z,D-24-21 17BCB3 [Baumkirchner 3],Upland,33.23,JFM,33.2868,1.5450423942403653,0.04641606865905901,-0.036762745288894734,seasonal stats
2008-02-20T07:00:00Z,D-24-21 17BCB3 [Baumkirchner 3],Upland,34.3,JFM,33.2868,1.5450423942403653,0.04641606865905901,0.6557748860335623,seasonal stats
2009-02-25T07:00:00Z,D-24-21 17BCB3 [Baumkirchner 3],Upland,31.24,JFM,33.2868,1.5450423942403653,0.04641606865905901,-1.3247532932624349,seasonal stats
2010-03-17T07:00:00Z,D-24-21 17BCB3 [Baumkirchner 3],Upland,30.14,JFM,33.2868,1.5450423942403653,0.04641606865905901,-2.0367078675191648,seasonal stats
2011-03-17T07:00:00Z,D-24-21 17BCB3 [Baumkirchner 3],Upland,31.18,JFM,33.2868,1.5450423942403653,0.04641606865905901,-1.363587179130983,seasonal stats
2012-04-11T07:00:00Z,D-24-21 17BCB3 [Baumkirchner 3],Upland,31.77,AMJ,33.585,1.3710372363463643,0.04082290416395308,-1.3238152486921069,seasonal stats
2013-01-16T07:00:00Z,D-24-21 17BCB3 [Baumkirchner 3],Upland,32.78,JFM,33.2868,1.5450423942403653,0.04641606865905901,-0.3280168893030093,seasonal stats
2013-03-19T07:00:00Z,D-24-21 17BCB3 [Baumkirchner 3],Upland,32.24,JFM,33.2868,1.5450423942403653,0.04641606865905901,-0.6775218621199496,seasonal stats
2014-03-11T07:00:00Z,D-24-21 17BCB3 [Baumkirchner 3],Upland,32.94,JFM,33.2868,1.5450423942403653,0.04641606865905901,-0.22445986032021426,seasonal stats
2015-04-02T07:00:00Z,D-24-21 17BCB3 [Baumkirchner 3],Upland,32.08,AMJ,33.585,1.3710372363463643,0.04082290416395308,-1.0977090629650814,seasonal stats
2016-04-11T07:00:00Z,D-24-21 17BCB3 [Baumkirchner 3],Upland,32.96,AMJ,33.585,1.3710372363463643,0.04082290416395308,-0.45585924541739187,seasonal stats
2017-01-18T07:00:00Z,D-24-21 17BCB3 [Baumkirchner 3],Upland,32.9,JFM,33.2868,1.5450423942403653,0.04641606865905901,-0.250349117565913,seasonal stats
2017-04-04T07:00:00Z,D-24-21 17BCB3 [Baumkirchner 3],Upland,32.55,AMJ,33.585,1.3710372363463643,0.04082290416395308,-0.7549029104112036,seasonal stats
2018-01-17T07:00:00Z,D-24-21 17BCB3 [Baumkirchner 3],Upland,33.5,JFM,33.2868,1.5450423942403653,0.04641606865905901,0.13798974111957768,seasonal stats
