date,name,well,level,evi,evi_mean,evi_sd,evi_cv,dtg_mean,dtg_sd,dtg_cv,evi_z,dtg_z,month,reach,year,wy_ppt,method
2010-05-13T07:00:00Z,D-23-23 32BCB [FOUDY],regional,262.54,0.14535736401264543,0.1415552118381416,0.04417823321599896,0.31209188727373494,262.94202702702705,0.6329058440863953,0.0024070166768028326,0.08606392555161979,-0.635208271156606,5,NA,2010,170.4439991042018,obs relative to whole year - MOD09 daily EVI
2011-06-28T07:00:00Z,D-23-23 32BCB [FOUDY],regional,262.93,0.10743245221158634,0.1415552118381416,0.04417823321599896,0.31209188727373494,262.94202702702705,0.6329058440863953,0.0024070166768028326,-0.7723885077006167,-0.01900286928841112,6,NA,2011,25.107000283896923,obs relative to whole year - MOD09 daily EVI
2012-06-19T07:00:00Z,D-23-23 32BCB [FOUDY],regional,263.36,0.1068989724934584,0.1415552118381416,0.04417823321599896,0.31209188727373494,262.94202702702705,0.6329058440863953,0.0024070166768028326,-0.7844641313571724,0.660403086617582,6,NA,2012,74.49149985937402,obs relative to whole year - MOD09 daily EVI
2013-06-06T07:00:00Z,D-23-23 32BCB [FOUDY],regional,263.23,0.11437492035172678,0.1415552118381416,0.04417823321599896,0.31209188727373494,262.94202702702705,0.6329058440863953,0.0024070166768028326,-0.6152417040655124,0.45500128599485035,6,NA,2013,73.15079987049103,obs relative to whole year - MOD09 daily EVI
2014-06-03T07:00:00Z,D-23-23 32BCB [FOUDY],regional,262.58,0.12271489146612004,0.1415552118381416,0.04417823321599896,0.31209188727373494,262.94202702702705,0.6329058440863953,0.0024070166768028326,-0.4264616079123467,-0.5720077171188978,6,NA,2014,102.44599896483123,obs relative to whole year - MOD09 daily EVI
2015-06-30T07:00:00Z,D-23-23 32BCB [FOUDY],regional,262.18,0.1485876814437034,0.1415552118381416,0.04417823321599896,0.31209188727373494,262.94202702702705,0.6329058440863953,0.0024070166768028326,0.15918403914385218,-1.2040132574965199,6,NA,2015,209.29800025280565,obs relative to whole year - MOD09 daily EVI
2017-07-14T07:00:00Z,D-23-23 32BCB [FOUDY],regional,263.12,0.10798837048317876,0.1415552118381416,0.04417823321599896,0.31209188727373494,262.94202702702705,0.6329058440863953,0.0024070166768028326,-0.7598049743376054,0.28119976239097283,7,NA,2017,89.30499882390723,obs relative to whole year - MOD09 daily EVI
2019-06-27T07:00:00Z,D-23-23 32BCB [FOUDY],regional,264.03,0.13460136120563929,0.1415552118381416,0.04417823321599896,0.31209188727373494,262.94202702702705,0.6329058440863953,0.0024070166768028326,-0.15740445296902467,1.7190123667500945,6,NA,2019,119.12800012668595,obs relative to whole year - MOD09 daily EVI
2023-04-17T07:00:00Z,D-23-23 32BCB [FOUDY],regional,263.58,0.12669875424688565,0.1415552118381416,0.04417823321599896,0.31209188727373494,262.94202702702705,0.6329058440863953,0.0024070166768028326,-0.33628455711704985,1.0080061338252473,4,NA,2023,98.36069676280022,obs relative to whole year - MOD09 daily EVI
2000-09-01T07:00:00Z,D-23-23 32BCB [FOUDY],regional,263.59,0.24765478424015008,0.1415552118381416,0.04417823321599896,0.31209188727373494,262.94202702702705,0.6329058440863953,0.0024070166768028326,2.40162552185507,1.0238062723346744,9,NA,2000,NA,obs relative to whole year - MOD09 daily EVI
2002-09-17T07:00:00Z,D-23-23 32BCB [FOUDY],regional,262.91,0.2022686498061231,0.1415552118381416,0.04417823321599896,0.31209188727373494,262.94202702702705,0.6329058440863953,0.0024070166768028326,1.374283975349073,-0.05060314630726528,9,NA,2002,58.81000014208257,obs relative to whole year - MOD09 daily EVI
2007-08-13T07:00:00Z,D-23-23 32BCB [FOUDY],regional,262.78,0.2516469449561335,0.1415552118381416,0.04417823321599896,0.31209188727373494,262.94202702702705,0.6329058440863953,0.0024070166768028326,2.4919904012395553,-0.25600494693008674,8,NA,2007,125.264001339674,obs relative to whole year - MOD09 daily EVI
2008-08-20T07:00:00Z,D-23-23 32BCB [FOUDY],regional,262.46,0.2529240732174718,0.1415552118381416,0.04417823321599896,0.31209188727373494,262.94202702702705,0.6329058440863953,0.0024070166768028326,2.5208989421287775,-0.7616093792322024,8,NA,2008,99.09799861907959,obs relative to whole year - MOD09 daily EVI
2009-09-04T07:00:00Z,D-23-23 32BCB [FOUDY],regional,262.29,0.23972395423451776,0.1415552118381416,0.04417823321599896,0.31209188727373494,262.94202702702705,0.6329058440863953,0.0024070166768028326,2.2221065726282774,-1.0302117338926424,9,NA,2009,103.34700031380635,obs relative to whole year - MOD09 daily EVI
2010-09-01T07:00:00Z,D-23-23 32BCB [FOUDY],regional,262.87,0.26256082634265754,0.1415552118381416,0.04417823321599896,0.31209188727373494,262.94202702702705,0.6329058440863953,0.0024070166768028326,2.7390324532193895,-0.11380370034506342,9,NA,2010,170.4439991042018,obs relative to whole year - MOD09 daily EVI
2011-09-26T07:00:00Z,D-23-23 32BCB [FOUDY],regional,263.18,0.24332277048438208,0.1415552118381416,0.04417823321599896,0.31209188727373494,262.94202702702705,0.6329058440863953,0.0024070166768028326,2.3035678712788767,0.3760005934476251,9,NA,2011,25.107000283896923,obs relative to whole year - MOD09 daily EVI
2013-09-05T07:00:00Z,D-23-23 32BCB [FOUDY],regional,263.2,0.26260710314605273,0.1415552118381416,0.04417823321599896,0.31209188727373494,262.94202702702705,0.6329058440863953,0.0024070166768028326,2.7400799555757858,0.4076008704664793,9,NA,2013,73.15079987049103,obs relative to whole year - MOD09 daily EVI
2015-09-29T07:00:00Z,D-23-23 32BCB [FOUDY],regional,262.37,0.18170932979515225,0.1415552118381416,0.04417823321599896,0.31209188727373494,262.94202702702705,0.6329058440863953,0.0024070166768028326,0.9089118109519375,-0.9038106258171359,9,NA,2015,209.29800025280565,obs relative to whole year - MOD09 daily EVI
2005-04-07T07:00:00Z,D-23-23 32BCB [FOUDY],regional,264.35,0.13139458030403176,0.1415552118381416,0.04417823321599896,0.31209188727373494,262.94202702702705,0.6329058440863953,0.0024070166768028326,-0.22999180352984813,2.2246167990523,4,NA,2005,147.44099956459831,obs relative to whole year - MOD09 daily EVI
2012-04-11T07:00:00Z,D-23-23 32BCB [FOUDY],regional,263.22,0.09855927681345936,0.1415552118381416,0.04417823321599896,0.31209188727373494,262.94202702702705,0.6329058440863953,0.0024070166768028326,-0.9732379928926502,0.43920114748542327,4,NA,2012,74.49149985937402,obs relative to whole year - MOD09 daily EVI
